station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
55.25	55.2493232854004	0.0643497495685323	0.0341184724845195	0.0110094609328294	15	15	0.165141913992441
55.5	55.4991657317563	0.0732217278062109	0.0369027813975111	0.0112535474950232	15	15	0.168803212425348
55.75	55.7489822120903	0.0827969283571152	0.0397452462320311	0.0114748972118995	15	15	0.172123458178493
56	55.9987701784244	0.0930890920492942	0.0426402300034609	0.0116738905040794	15	15	0.175108357561191
56.25	56.2485270256624	0.104110553071748	0.0455821914840708	0.0118509131272732	15	15	0.177763696909098
56.5	56.4982501048038	0.11587226302161	0.0485656865670975	0.0120063563773758	15	15	0.180095345660637
56.75	56.7479367364326	0.128383815403531	0.0515853696727587	0.0121406172208167	15	15	0.18210925831225
57	56.9975842243836	0.141653470592238	0.0546359951775058	0.0122540983504909	15	15	0.183811475257364
57.25	57.2471898694935	0.155688181263155	0.0577124188480042	0.0123472081685438	15	15	0.185208122528157
57.5	57.496750983348	0.170493618289928	0.0608095992617778	0.0124203606981658	15	15	0.186305410472488
57.75	57.7462649019403	0.186074197101898	0.0639225991970871	0.0124739754273389	15	15	0.187109631410083
58	57.9957289991629	0.202433104488923	0.0670465869754472	0.0125084770881123	15	15	0.187627156321685
58.25	58.2451407000581	0.219572325835723	0.0701768377411432	0.0125242953756015	15	15	0.187864430634022
58.5	58.4944974937581	0.237492672762894	0.073308734663248	0.0125218646114888	15	15	0.187827969172332
58.75	58.7437969460507	0.256193811147269	0.0764377700468876	0.0125016233571154	15	15	0.187524350356732
59	58.9930367115119	0.275674289490124	0.0795595463418057	0.0124640139816514	15	15	0.186960209724771
59.25	59.2422145451522	0.295931567598065	0.0826697770377133	0.0124094821911279	15	15	0.186142232866918
59.5	59.4913283135272	0.316962045538289	0.0857642874373696	0.0123384765241941	15	15	0.185077147862912
59.75	59.7403760052702	0.33876109282715	0.0888390152998104	0.0122514478206253	15	15	0.18377171730938
60	59.9893557410085	0.361323077808808	0.0918900113476823	0.0121488486686462	15	15	0.182232730029694
60.25	60.2382657826299	0.384641397179036	0.0949134396341335	0.0120311328370136	15	15	0.180466992555204
60.5	60.4871045418724	0.408708505608045	0.0979055777661891	0.0118987546977795	15	15	0.178481320466692
60.75	60.7358705882123	0.433515945415501	0.100862816983023	0.0117521686454591	15	15	0.176282529681886
61	60.9845626560337	0.45905437625063	0.103781662088919	0.0115918285180521	15	15	0.173877427770781
61.25	61.2331796510642	0.485313604730571	0.106658731242049	0.0114181870252414	15	15	0.17127280537862
61.5	61.4817206560675	0.512282613990732	0.109490755601539	0.0112316951886504	15	15	0.168475427829757
61.75	61.7301849357868	0.539949593101975	0.112274578836375	0.0110328017987547	15	15	0.16549202698132
62	61.9785719411377	0.568301966310875	0.115007156500917	0.0108219528928102	15	15	0.162329293392154
62.25	62.2268813126515	0.59732642206107	0.11768555528278	0.0105995905778807	15	15	0.158993858668211
62.5	62.4751128831747	0.62700894175576	0.120306951789857	0.0103661529935052	15	15	0.155492294902578
62.75	62.7232666798341	0.657334828052836	0.122868631779532	0.0101220763045059	15	15	0.151831144567589
63	62.9713429252786	0.688288733108588	0.12536798994211	0.00986779261561388	15	15	0.148016889234208
63.25	63.2193420382039	0.719854686618538	0.127802528087339	0.00960372677977411	15	15	0.144055901696612
63.5	63.4672646331837	0.752016122989893	0.130169853331997	0.00933029813736141	15	15	0.139954472060421
63.75	63.7151115198239	0.784755908300677	0.13246767715602	0.00904792130326021	15	15	0.135718819548903
64	63.9628837012594	0.818056366818034	0.134693813983627	0.00875700510001864	15	15	0.13135507650028
