station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
25.25	25.25	0	0	0	13.4	3.89673399851796	0
25.5	25.5	0	0	0	13.4	3.91565721642708	0
25.75	25.75	0	0	0	13.4	3.93448682088587	0
26	26	0	0	0	13.4	3.95322414992407	0
26.25	26.25	0	0	0	13.4	3.97187050982875	0
26.5	26.5	0	0	0	13.4	3.99042717618963	0
26.75	26.75	0	0	0	13.4	4.00889539490037	0
27	27	0	0	0	13.4	4.02727638311841	0
27.25	27.25	0	0	0	13.4	4.04557133018515	0
27.5	27.5	0	0	0	13.4	4.06378139850864	0
27.75	27.75	0	0	0	13.4	4.08190772441053	0
28	28	0	0	0	13.4	4.09995141893913	0
28.25	28.25	0	0	0	13.4	4.11791356865013	0
28.5	28.5	0	0	0	13.4	4.13579523635654	0
28.75	28.75	0	0	0	13.4	4.15359746184943	0
29	29	0	0	0	13.4	4.17132126259072	0
29.25	29.25	0	0	0	13.4	4.18896763437939	0
29.5	29.5	0	0	0	13.4	4.20653755199237	0
29.75	29.75	0	0	0	13.4	4.22403196980122	0
30	30	0	0	0	13.4	4.24145182236576	0
30.25	30.25	0	0	0	13.4	4.25879802500562	0
30.5	30.5	0	0	0	13.4	4.27607147435088	0
30.75	30.75	0	0	0	13.4	4.29327304887244	0
31	31	0	0	0	13.4	4.3104036093933	0
31.25	31.25	0	0	0	13.4	4.32746399958147	0
31.5	31.5	0	0	0	13.4	4.34445504642528	0
31.75	31.75	0	0	0	13.4	4.36137756069185	0
32	32	0	0	0	13.4	4.3782323373696	0
32.25	32.25	0	0	0	13.4	4.3950201560952	0
32.5	32.5	0	0	0	13.4	4.41174178156593	0
32.75	32.75	0	0	0	13.4	4.42839796393776	0
33	33	0	0	0	13.4	4.44498943920998	0
33.25	33.25	0	0	0	13.4	4.46151692959685	0
33.5	33.5	0	0	0	13.4	4.4779811438867	0
33.75	33.75	0	0	0	13.4	4.49438277778923	0
34	34	0	0	0	13.4	4.51072251427119	0
34.25	34.25	0	0	0	13.4	4.52700102388117	0
34.5	34.5	0	0	0	13.4	4.54321896506377	0
34.75	34.75	0	0	0	13.4	4.55937698446362	0
35	35	0	0	0	13.4	4.5754757172197	0
35.25	35.25	0	0	0	13.4	4.59151578725018	0
35.5	35.5	0	0	0	13.4	4.6074978075284	0
35.75	35.75	0	0	0	13.4	4.62342238035	0
36	36	0	0	0	13.4	4.6392900975919	0
36.25	36.25	0	0	0	13.4	4.65510154096317	0
36.5	36.5	0	0	0	13.4	4.67085728224813	0
36.75	36.75	0	0	0	13.4	4.68655788354217	0
37	37	0	0	0	13.4	4.70220389748025	0
37.25	37.25	0	0	0	13.4	4.71779586745865	0
37.5	37.5	0	0	0	13.4	4.73333432785	0
37.75	37.75	0	0	0	13.4	4.74881980421193	0
38	38	0	0	0	13.4	4.76425281348958	0
38.25	38.25	0	0	0	13.4	4.77963386421212	0
38.5	38.5	0	0	0	13.4	4.79496345668361	0
38.75	38.75	0	0	0	13.4	4.81024208316824	0
39	39	0	0	0	13.4	4.82547022807032	0
39.25	39.25	0	0	0	13.4	4.84064836810905	0
39.5	39.5	0	0	0	13.4	4.8557769724884	0
39.75	39.75	0	0	0	13.4	4.8708565030621	0
40	40	0	0	0	13.4	4.88588741449407	0
40.25	40.25	0	0	0	13.4	4.90087015441439	0
40.5	40.5	0	0	0	13.4	4.91580516357081	0
40.75	40.75	0	0	0	13.4	4.93069287597628	0
41	41	0	0	0	13.4	4.9455337190523	0
41.25	41.25	0	0	0	13.4	4.9603281137684	0
41.5	41.5	0	0	0	13.4	4.97507647477787	0
41.75	41.75	0	0	0	13.4	4.98977921054982	0
42	42	0	0	0	13.4	5.00443672349774	0
42.25	42.25	0	0	0	13.4	5.01904941010457	0
42.5	42.5	0	0	0	13.4	5.03361766104455	0
42.75	42.75	0	0	0	13.4	5.04814186130183	0
43	43	0	0	0	13.4	5.06262239028597	0
43.25	43.25	0	0	0	13.4	5.07705962194448	0
43.5	43.5	0	0	0	13.4	5.09145392487241	0
43.75	43.75	0	0	0	13.4	5.10580566241915	0
44	44	0	0	0	13.4	5.12011519279252	0
44.25	44.25	0	0	0	13.4	5.1343828691602	0
44.5	44.5	0	0	0	13.4	5.14860903974859	0
44.75	44.75	0	0	0	13.4	5.1627940479392	0
45	45	0	0	0	13.4	5.17693823236266	0
45.25	45.25	0	0	0	13.4	5.19104192699036	0
45.5	45.5	0	0	0	13.4	5.20510546122383	0
45.75	45.75	0	0	0	13.4	5.21912915998195	0
46	46	0	0	0	13.4	5.23311334378603	0
46.25	46.25	0	0	0	13.4	5.24705832884279	0
46.5	46.5	0	0	0	13.4	5.26096442712539	0
46.75	46.75	0	0	0	13.4	5.27483194645245	0
47	47	0	0	0	13.4	5.28866119056524	0
47.25	47.25	0	0	0	13.4	5.30245245920299	0
47.5	47.5	0	0	0	13.4	5.31620604817646	0
47.75	47.75	0	0	0	13.4	5.32992224943976	0
48	48	0	0	0	13.4	5.34360135116048	0
48.25	48.25	0	0	0	13.4	5.35724363778819	0
48.5	48.5	0	0	0	13.4	5.37084939012137	0
48.75	48.75	0	0	0	13.4	5.38441888537283	0
49	49	0	0	0	13.4	5.3979523972335	0
49.25	49.25	0	0	0	13.4	5.41145019593493	0
49.5	49.5	0	0	0	13.4	5.42491254831031	0
49.75	49.75	0	0	0	13.4	5.43833971785401	0
50	50	0	0	0	13.4	5.45173196477998	0
50.25	50.25	0	0	0	13.4	5.46508954607867	0
50.5	50.5	0	0	0	13.4	5.47841271557277	0
50.75	50.75	0	0	0	13.4	5.49170172397171	0
51	51	0	0	0	13.4	5.50495681892495	0
51.25	51.25	0	0	0	13.4	5.51817824507408	0
51.5	51.5	0	0	0	13.4	5.53136624410382	0
51.75	51.75	0	0	0	13.4	5.54452105479191	0
52	52	0	0	0	13.4	5.55764291305789	0
52.25	52.25	0	0	0	13.4	5.57073205201087	0
52.5	52.5	0	0	0	13.4	5.58378870199623	0
52.75	52.75	0	0	0	13.4	5.59681309064142	0
53	53	0	0	0	13.4	5.60980544290065	0
53.25	53.25	0	0	0	13.4	5.62276598109877	0
53.5	53.5	0	0	0	13.4	5.63569492497416	0
53.75	53.75	0	0	0	13.4	5.6485924917207	0
54	54	0	0	0	13.4	5.66145889602898	0
54.25	54.25	0	0	0	13.4	5.67429435012649	0
54.5	54.5	0	0	0	13.4	5.68709906381714	0
54.75	54.75	0	0	0	13.4	5.69987324451989	0
55	55	0	0	0	13.4	5.71261709730657	0
55.25	55.25	0	0	0	13.4	5.725330824939	0
55.5	55.5	0	0	0	13.4	5.73801462790531	0
55.75	55.75	0	0	0	13.4	5.75066870445554	0
56	56	0	0	0	13.4	5.76329325063654	0
56.25	56.25	0	0	0	13.4	5.77588846032614	0
56.5	56.5	0	0	0	13.4	5.78845452526669	0
56.75	56.75	0	0	0	13.4	5.80099163509786	0
57	57	0	0	0	13.4	5.81349997738891	0
57.25	57.25	0	0	0	13.4	5.82597973767021	0
57.5	57.5	0	0	0	13.4	5.8384310994642	0
57.75	57.75	0	0	0	13.4	5.85085424431574	0
58	58	0	0	0	13.4	5.86324935182191	0
58.25	58.25	0	0	0	13.4	5.87561659966114	0
58.5	58.5	0	0	0	13.4	5.88795616362189	0
58.75	58.75	0	0	0	13.4	5.9002682176307	0
59	59	0	0	0	13.4	5.91255293377976	0
59.25	59.25	0	0	0	13.4	5.9248104823539	0
59.5	59.5	0	0	0	13.4	5.93704103185715	0
59.75	59.75	0	0	0	13.4	5.94924474903875	0
60	60	0	0	0	13.4	5.96142179891863	0
60.25	60.25	0	0	0	13.4	5.97357234481252	0
60.5	60.5	0	0	0	13.4	5.98569654835652	0
60.75	60.75	0	0	0	13.4	5.99779456953124	0
61	61	0	0	0	13.4	6.00986656668547	0
61.25	61.25	0	0	0	13.4	6.02191269655944	0
61.5	61.5	0	0	0	13.4	6.03393311430769	0
61.75	61.75	0	0	0	13.4	6.04592797352144	0
62	62	0	0	0	13.4	6.0578974262506	0
62.25	62.25	0	0	0	13.4	6.06984162302542	0
62.5	62.5	0	0	0	13.4	6.0817607128777	0
62.75	62.75	0	0	0	13.4	6.09365484336159	0
63	63	0	0	0	13.4	6.10552416057414	0
63.25	63.25	0	0	0	13.4	6.11736880917534	0
63.5	63.5	0	0	0	13.4	6.12918893240792	0
63.75	63.75	0	0	0	13.4	6.14098467211673	0
64	64	0	0	0	13.4	6.15275616876783	0
64.25	64.25	0	0	0	13.4	6.16450356146718	0
64.5	64.5	0	0	0	13.4	6.17622698797908	0
64.75	64.75	0	0	0	13.4	6.18792658474427	0
65	65	0	0	0	13.4	6.19960248689765	0
65.25	65.25	0	0	0	13.4	6.2112548282858	0
65.5	65.5	0	0	0	13.4	6.22288374148413	0
65.75	65.75	0	0	0	13.4	6.23448935781373	0
66	66	0	0	0	13.4	6.24607180735802	0
66.25	66.25	0	0	0	13.4	6.25763121897899	0
66.5	66.5	0	0	0	13.4	6.26916772033328	0
66.75	66.75	0	0	0	13.4	6.2806814378879	0
67	67	0	0	0	13.4	6.29217249693577	0
67.25	67.25	0	0	0	13.4	6.30364102161095	0
67.5	67.5	0	0	0	13.4	6.31508713490358	0
67.75	67.75	0	0	0	13.4	6.32651095867468	0
68	68	0	0	0	13.4	6.3379126136706	0
68.25	68.25	0	0	0	13.4	6.34929221953732	0
68.5	68.5	0	0	0	13.4	6.36064989483439	0
68.75	68.75	0	0	0	13.4	6.37198575704883	0
69	69	0	0	0	13.4	6.3832999226086	0
69.25	69.25	0	0	0	13.4	6.39459250689602	0
69.5	69.5	0	0	0	13.4	6.40586362426085	0
69.75	69.75	0	0	0	13.4	6.41711338803324	0
70	70	0	0	0	13.4	6.42834191053644	0
70.25	70.25	0	0	0	13.4	6.4395493030993	0
70.5	70.5	0	0	0	13.4	6.4507356760686	0
70.75	70.75	0	0	0	13.4	6.46190113882114	0
71	71	0	0	0	13.4	6.47304579977569	0
71.25	71.25	0	0	0	13.4	6.48416976640468	0
71.5	71.5	0	0	0	13.4	6.49527314524582	0
71.75	71.75	0	0	0	13.4	6.50635604191343	0
72	72	0	0	0	13.4	6.51741856110961	0
72.25	72.25	0	0	0	13.4	6.52846080663532	0
72.5	72.5	0	0	0	13.4	6.53948288140118	0
72.75	72.75	0	0	0	13.4	6.55048488743817	0
73	73	0	0	0	13.4	6.56146692590815	0
73.25	73.25	0	0	0	13.4	6.57242909711418	0
73.5	73.5	0	0	0	13.4	6.5833715005108	0
73.75	73.75	0	0	0	13.4	6.59429423471397	0
74	74	0	0	0	13.4	6.60519739751104	0
74.25	74.25	0	0	0	13.4	6.61608108587045	0
74.5	74.5	0	0	0	13.4	6.62694539595132	0
74.75	74.75	0	0	0	13.4	6.63779042311294	0
75	75	0	0	0	13.4	6.64861626192402	0
75.25	75.25	0	0	0	13.4	6.6594230061719	0
75.5	75.5	0	0	0	13.4	6.67021074887158	0
75.75	75.75	0	0	0	13.4	6.6809795822746	0
76	76	0	0	0	13.4	6.69172959787782	0
